ticker,name,description,industry,currency,exchange,type,market_cap,market_cap_usd
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.","American Electric Power Company, Inc. is an electric public utility holding company. Its electric utility operating companies provide generation, transmission and distribution services to more than five million retail customers in Arkansas, Indiana, Kentucky, Louisiana, Michigan, Ohio, Oklahoma, Tennessee, Texas, Virginia and West Virginia. Its segments include Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco and Generation & Marketing. The Vertically Integrated Utilities is engaged in the generation, transmission and distribution of electricity for sale to retail and wholesale customers. The Transmission and Distribution Utilities consists of the transmission and distribution of electricity for sale to retail and wholesale customers. The AEP Transmission Holdco is engaged in development, construction and operation of transmission facilities. The Generation & Marketing segment conducts Marketing, risk management and retail activities.",Electrical Utilities & IPPs,USD,XNAS,Stock,62800941621.00,62800941621.00
AES,THE AES CORPORATION,"The AES Corporation is an energy company. The Company operates in four segments: Renewables, Utilities, Energy Infrastructure, and New Energy Technologies. The Renewables segment include solar, wind, energy storage, and hydro generation facilities. The Utilities segment includes AES Indiana, AES Ohio, and AES El Salvador regulated utilities and their generation facilities. The Energy Infrastructure segment includes natural gas, liquefied natural gas (LNG), coal, pet coke, diesel, and oil generation facilities, and its businesses in Chile, which have a mix of generation sources, including renewables. The New Energy Technologies segment includes investments in Fluence, Uplight, Maximo and other initiatives. It has two lines of business: Generation, which owns and/or operates power plants to generate and sell power to customers and Utilities that own and/or operate utilities to generate or purchase, distribute, transmit and sell electricity to end-user customers.",Electrical Utilities & IPPs,USD,XNYS,Stock,10253510000.00,10253510000.00
AFL,AFLAC INCORPORATED,"Aflac Incorporated provides financial protection to policyholders and customers through its subsidiaries in the United States and Japan. The Company’s principal business is supplemental health and life insurance products. The Company’s segments include Aflac Japan, which includes Aflac Life Insurance Japan (ALIJ), and Aflac U.S., which includes American Family Life Assurance Company of Columbus (Aflac), American Family Life Assurance Company of New York (Aflac New York), Continental American Insurance Company (CAIC), Tier One Insurance Company (TOIC) and Aflac Benefits Solutions, Inc. (ABS). The Aflac Japan segment is the insurer in Japan in terms of cancer and medical (third sector insurance products) policies in force. The Company designs its United States insurance products to provide supplemental coverage for people who already have major medical or primary insurance coverage, as Aflac U.S. insurance policies pay benefits regardless of other insurance.",Insurance,USD,XNYS,Stock,57858071670.00,57858071670.00
AIG,"AMERICAN INTERNATIONAL GROUP, INC.","American International Group, Inc. is a global insurance company. It provides insurance solutions that help businesses and individuals in over 200 countries and jurisdictions protect their assets and manage risks through its operations, licenses and authorizations and network partners. Its segment includes General Insurance and Other Operations. General Insurance business includes its three segments, including North America Commercial, International Commercial and Global Personal. The North America Commercial consists of insurance businesses in the United States, Canada and Bermuda. The International Commercial consists of insurance businesses in Japan, the United Kingdom, Europe, Middle East and Africa, Asia Pacific, Latin America and Caribbean and China. The North America and International Commercial segment products include property and short tail, casualty, financial lines and global specialty. Global Personal segment products include global accident and health and personal lines.",Insurance,USD,XNYS,Stock,43422817844.00,43422817844.00
AIZ,"ASSURANT, INC.","Assurant, Inc. is a global protection company that partners with various brands to safeguard and service connected devices, homes and automobiles. It utilizes data-driven technology solutions to provide customer experiences. It operates in North America, Latin America, Europe and Asia Pacific through two operating segments: Global Lifestyle and Global Housing. Global Lifestyle segment provides mobile device solutions, extended service contracts and related services for consumer electronics and appliances and credit and other insurance products (referred to as Connected Living), and vehicle protection services, commercial equipment services and other related services (referred to as Global Automotive). Global Housing segment provides lender-placed homeowners, manufactured housing and flood insurance, as well as voluntary manufactured housing, condominium and homeowners insurance (referred to as Homeowners), and renters insurance and other products (referred to as Renters and Other).",Insurance,USD,XNYS,Stock,10553540000.00,10553540000.00
AJG,ARTHUR J. GALLAGHER & CO.,"Arthur J. Gallagher & Co. is a global insurance brokerage, risk management and consulting services company. The Company’s segments include brokerage, risk management and corporate. The brokerage segment operations provide brokerage and consulting services to entities of all types, including commercial, nonprofit, public sector entities, insurance companies and insurance capital providers, and to a lesser extent, individuals, in the areas of insurance and reinsurance placements, risk of loss management, and management of employer- sponsored benefit programs. The risk management segment operations provide contract claim settlement, claim administration, loss control services and risk management consulting for commercial, non-profit, captive and public sector entities, and various other organizations that choose to self-insure property/casualty coverage or choose to use a third party claims management organization rather than the claim services provided by an underwriting enterprise.",Insurance,USD,XNYS,Stock,71520149740.00,71520149740.00
AKAM,"AKAMAI TECHNOLOGIES, INC.","Akamai Technologies, Inc. is a cybersecurity and cloud computing company. The Company develops and provides solutions for global enterprises to build, secure and accelerate their applications and digital experiences. Akamai Connected Cloud, the Company's platform, is comprised of an edge and cloud architecture and underlying network for cloud computing, security and content delivery services. Its cloud computing services include compute, storage, networking, database and container management services that are required to build, deploy and secure applications and workloads. Its security solutions are designed to keep infrastructure, websites, applications, application programming interfaces and users safe from a multitude of cyberattacks and online threats while improving performance. Its content delivery solutions consist of Web and mobile performance focused solutions and media delivery solutions. It also provides services and support for its customers as they utilize its solutions.",Software & IT Services,USD,XNAS,Stock,10646380000.00,10646380000.00
ALB,ALBEMARLE CORPORATION,"Albemarle Corporation is engaged in transforming essential resources into critical ingredients for mobility, energy, connectivity, and health. The Company’s segments include Energy Storage, Specialties, and Ketjen. The Energy Storage segment develops and manufactures a range of basic lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride. Its Specialties business optimizes its portfolio of bromine and highly specialized lithium solutions. Its Specialties business serves a variety of industries, including energy, mobility, connectivity, and health. Specialty products are essential in both internal combustion and electric vehicles, from high-voltage cables and powertrains to airbags and tires. Its Ketjen segment includes clean fuels technologies (CFT), fluidized catalytic cracking (FCC) catalysts and additives, and performance catalyst solutions (PCS). It serves various markets such as grid storage, automotive, aerospace, conventional energy, and others.",Chemicals,USD,XNYS,Stock,11314040000.00,11314040000.00
ALGN,"ALIGN TECHNOLOGY, INC.","Align Technology, Inc. is a global medical device company that designs, manufactures, and sells the Invisalign system of clear aligners, iTero intraoral scanners, and exocad computer-aided design and computer-aided manufacturing (CAD/CAM) software for digital orthodontics and restorative dentistry. The Company provides Align Digital Platform. Its segments include Clear Aligner, and Imaging Systems and CAD/CAM Services (Systems and Services). The Clear Aligner segment consists of comprehensive products, non-comprehensive products and non-case products. Its comprehensive products include Invisalign Comprehensive and Invisalign First. The Company's non-case products include retention products, Invisalign training and adjusting tools. It offers up to four sets of custom clear aligners called Vivera retainers. The Systems and Services segment consists of its iTero intraoral scanning systems. Its services include subscription software, disposables, rentals, leases and pay per scan services.",Healthcare Equipment & Supplies,USD,XNAS,Stock,9874093321.00,9874093321.00
ALL,THE ALLSTATE CORPORATION,"The Allstate Corporation protects people from life’s uncertainties with a wide array of protection for autos, homes, electronic devices and identity theft. The Company’s products are available through Allstate agents, independent agents, major retailers, online and at the workplace. Its Allstate Protection segment offers private passenger auto, homeowners, other personal lines and commercial insurance. Its Run-off Property-Liability segment includes property and casualty insurance coverage. The Company’s Protection Services segment provides consumer product protection plans, device and mobile data collection services and analytic solutions using automotive telematics information, roadside assistance, protection and insurance products and identity protection and restoration through Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside, Arity and Allstate Identity Protection.",Insurance,USD,XNYS,Stock,51051516822.00,51051516822.00
ALLE,ALLEGION PUBLIC LIMITED COMPANY,"Allegion plc is a global security products and solutions provider. The Company secures people and assets with a range of solutions for homes, businesses, schools and institutions. Its Allegion Americas segment is a provider of security products, services and solutions throughout North America. It sells a range of products and solutions, including locks, locksets, key systems, door controls and systems, exit devices, doors, accessories, electronic security products, access control systems and software and service solutions to customers in commercial, institutional, and residential facilities. Its Allegion International segment provides security products, services and solutions primarily throughout Europe, Asia and Oceania. The segment offers end-users a range of products, services and solutions, including locks, locksets, portable locks, key systems, door closers and systems, and others. Its brands include CISA, Interflex, LCN, Schlage, SimonsVoss, Von Duprin, Trimco and others.",Communications & Networking,USD,XNYS,Stock,15406874944.00,15406874944.00
AMAT,"APPLIED MATERIALS, INC.","Applied Materials, Inc. is a materials engineering solution company. The Company provides equipment, services and software to the semiconductor, display, and related industries. It operates in three segments: Semiconductor Systems, Applied Global Services (AGS), and Display. The Semiconductor systems segment designs, develops, manufactures and sells a range of primarily 300 mm equipment used to fabricate semiconductor chips, also referred to as integrated circuits (ICs). The AGS segment provides services, spares and factory automation software to customer fabrication plants globally. The AGS segment also manufactures and sells 200mm and other equipment. The Display segment is comprised primarily of products for manufacturing liquid crystal displays (LCDs), organic light-emitting diodes (OLEDs), and other display technologies for televisions, monitors, laptops, personal computers (PCs), tablets, smartphones, and other consumer-oriented devices.",Semiconductors & Semiconductor Equipment,USD,XNAS,Stock,180041205000.00,180041205000.00
AMCR,Amcor plc,"Amcor plc is engaged in packaging solutions for consumer and healthcare products. The Company develops sustainable packaging in flexible and rigid formats across multiple materials. The Company operates through two segments: Flexibles and Rigid Packaging. The Flexibles segment consists of operations that manufacture flexible and film packaging in the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care, and other industries. The Rigid Packaging segment consists of operations that manufacture rigid containers for a broad range of predominantly beverage and food products, including carbonated soft drinks, water, juices, sports drinks, milk-based beverages, spirits and wine, sauces, dressings, spreads and personal care items, and plastic caps for a wide variety of applications. The Company's subsidiaries include Berry Global Group Inc., Amcor Flexibles North America, Inc., Amcor UK Finance plc, Amcor Finance (USA), Inc., and others.",Containers & Packaging,USD,XNYS,Stock,18755425000.00,18755425000.00
AMD,"ADVANCED MICRO DEVICES, INC.","Advanced Micro Devices, Inc. is a global semiconductor company. The Company is focused on high-performance computing, graphics and visualization technologies. Its segments include Data Center, Client and Gaming, and Embedded. Data Center segment includes artificial intelligence (AI) accelerators, microprocessors (CPUs) for servers, graphics processing units (GPUs), accelerated processing units (APUs), data processing units (DPUs), Field Programmable Gate Arrays (FPGAs), smart network interface Cards (SmartNICs) and Adaptive system-on-Chip (SoC) products for data centers. Client and Gaming segment includes CPUs, APUs, chipsets for desktops and notebooks, discrete GPUs, and semi-custom SoC products and development services. Embedded segment includes embedded CPUs, GPUs, APUs, FPGAs, system on modules (SOMs), and Adaptive SoC products. It markets and sells its products under the AMD trademark. Its products include AMD EPYC, AMD Ryzen, AMD Ryzen PRO, Virtex UltraScale+, and others.",Semiconductors & Semiconductor Equipment,USD,XNAS,Stock,386285557320.00,386285557320.00
AME,"AMETEK, INC.","AMETEK, Inc. is a global provider of industrial technology solutions serving a diverse set of niche markets. The Company's segments include Electronic Instruments Group (EIG) and Electromechanical Group (EMG). EIG segment designs and manufactures advanced analytical, test and measurement instruments for the process, aerospace, medical, research, power and industrial markets. It provides a range of instruments to the research and laboratory equipment, ultra-precision manufacturing, optics, medical, and test and measurement markets. It also provides three-dimensional measurement and imaging solutions, including portable measurement arms, laser scanners and trackers, software solutions, and comprehensive service offerings. EMG designs and manufactures engineered medical components and devices, automation solutions, thermal management systems, specialty metals and electrical interconnects. It supplies powdered metals, strip and foil, specialty clad metals and metal matrix composites.","Machinery, Equipment & Components",USD,XNYS,Stock,43488638200.00,43488638200.00
AMGN,AMGEN INC.,"Amgen Inc. is a biotechnology company. It discovers, develops, manufactures and delivers medicines for the toughest diseases. It focuses on areas of high unmet medical need and leverages its expertise to strive for solutions that improve people’s lives. It operates in the human therapeutics segment. Its marketed products portfolio includes EPOGEN (epoetin alfa); Aranesp (darbepoetin alfa); Parsabiv (etelcalcetide); Neulasta (pegfilgrastim); KANJINTI (trastuzumab-anns); Otezla; BLINCYTO (blinatumomab); ACTIMMUNE (interferon gamma-1b); Neulasta (pegfilgrastim); Sensipar/Mimpara (cinacalcet); Prolia (denosumab); ENBREL; QUINSAIR (levofloxacin); Repatha (evolocumab) and others. It markets ENBREL, a tumor necrosis factor blocker, in the United States and Canada. It markets Otezla, a small molecule that inhibits phosphodiesterase 4, in many countries around the world. It markets Repatha, a proprotein convertase subtilisin/kexin type 9 (PCSK9) inhibitor, in many countries around the world.",Pharmaceuticals,USD,XNAS,Stock,162122302566.00,162122302566.00
AMP,"AMERIPRISE FINANCIAL, INC.","Ameriprise Financial, Inc. is a diversified financial services company. The Company’s segments include Advice & Wealth Management, Asset Management, Retirement & Protection Solutions and Corporate & Other. The Advice & Wealth Management segment provides financial planning and advice, as well as full-service brokerage services, primarily to retail clients through the Company’s advisors. The Asset Management segment provides investment management, advice and products to retail, high net worth and institutional clients on a global scale through the Columbia Threadneedle Investments brand. It provides institutional products and services through its institutional sales force. The Retirement & Protection Solutions segment includes retirement solutions (variable annuities and payout annuities) and protection solutions (life and disability income insurance). Retirement Solutions provides variable annuity products by RiverSource Life companies to individual clients.",Investment Banking & Investment Services,USD,XNYS,Stock,45190015001.00,45190015001.00
AMT,AMERICAN TOWER CORPORATION,"American Tower Corporation is a global real estate investment trust (REIT) and an independent owner, operator and developer of multitenant communications real estate with a portfolio of nearly 150,000 communications sites and a highly interconnected footprint of United States data center facilities. The Company's segments include U.S. & Canada property, Africa & APAC property, Europe property, Latin America property, Data Centers and Services. The Company’s primary business is leasing space on multitenant communications sites to wireless service providers, radio and television broadcast companies, wireless data providers, government agencies and municipalities and tenants in a number of other industries. The Company’s Data Centers segment relates to data center facilities and related assets that it owns and operates in the United States. Its Services segment offers tower-related services in the United States, including AZP, structural and mount analyses, and construction management.",Residential & Commercial REIT,USD,XNYS,Stock,90086848368.00,90086848368.00
AMZN,"AMAZON.COM, INC.","Amazon.com, Inc. provides a range of products and services to customers. The products offered through its stores include merchandise and content it has purchased for resale and products offered by third-party sellers. The Company’s segments include North America, International and Amazon Web Services (AWS). It serves consumers through its online and physical stores and focuses on selection, price, and convenience. Customers access its offerings through its websites, mobile apps, Alexa, devices, streaming, and physically visiting its stores. It also manufactures and sells electronic devices, including Kindle, Fire tablet, Fire TV, Echo, Ring, Blink, and eero, and develops and produces media content. It serves developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions, through AWS, which offers a set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services.",Diversified Retail,USD,XNAS,Stock,2367929967300.00,2367929967300.00
ANET,"ARISTA NETWORKS, INC.","Arista Networks, Inc. is a provider of data-driven, client-to-cloud networking for large artificial intelligence (AI), data center, campus and routing environments. Its platforms deliver availability, agility, automation, analytics, and security through an advanced network operating stack. Its platform is its Extensible Operating System (EOS), a modernized publish-subscribe state-sharing networking operating system. Its portfolio of products, services and technologies is grouped into various categories: Core (Data Center, Cloud and AI Networking), Cognitive Adjacencies (Campus and Routing), and Cognitive Network (Software and Services). It offers product portfolios of data-driven, high-speed, cloud and data center Ethernet switches. Its Cognitive Adjacencies include Cognitive Campus Switching, Cloud-Grade Routing and WAN Routing. Its software and services are based on subscription-based models and include various offerings: CloudVision, Arista A-Care Services, CloudEOS and others.",Communications & Networking,USD,XNYS,Stock,183338897550.00,183338897550.00
AON,AON PUBLIC LIMITED COMPANY,"Aon PLC is a global professional services company. The Company’s segments include Risk Capital and Human Capital. The Risk Capital segment supports clients through its Commercial Risk and Reinsurance solution lines. Commercial Risk includes insurance and specialty brokerage, global risk consulting, captive management, and Affinity programs. Reinsurance includes treaty reinsurance, facultative reinsurance, Strategy and Technology Group, and capital markets. The Human Capital segment supports clients through its Health and Wealth solution lines. Health includes consulting and brokerage, consumer benefits solutions, and talent advisory services. Wealth includes retirement consulting, pension administration, and investment consulting. Retirement consulting provides clients with strategic design advice, actuarial services, risk management solutions including pension risk transfer, and integrated pension administration.",Insurance,USD,XNYS,Stock,74035393110.00,74035393110.00
AOS,A. O. SMITH CORPORATION,"A. O. Smith Corporation applies technologies and solutions to products manufactured and marketed worldwide. The Company operates through two segments: North America and Rest of World. Both the segments manufacture and market a comprehensive line of residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products. Its Rest of World segment is primarily comprised of China, Europe, and India. The North America segment serves residential and commercial end markets with a range of products, including water heaters, boilers, water treatment products, and others. The Company also manufactures expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, related products and parts. Its Lochinvar brand is a residential and commercial boiler brand in the United States. Its water softener branded products and problem well water solutions include the Hague, Water-Right, Master Water, Atlantic Filter, Impact, and Water Tec brands.","Machinery, Equipment & Components",USD,XNYS,Stock,9949201600.00,9949201600.00
APA,APA CORPORATION,"APA Corporation is an independent energy company. The Company owns subsidiaries that explore for and produce oil and natural gas in the United States, Egypt, and the United Kingdom, and that explore for oil and natural gas offshore Suriname. The Company’s upstream business has oil and gas operations in three geographic areas: the United States, Egypt and offshore the United Kingdom in the North Sea (North Sea). It also has active exploration and appraisal operations ongoing in Suriname, as well as interests in Uruguay and other international locations. It maintains a diversified asset portfolio, including conventional and unconventional, onshore and offshore, oil and natural gas exploration and production interests. In the United States, operations are primarily focused on the Permian Basin of West Texas. The Company has conventional onshore assets in Egypt’s Western Desert, and offshore assets on the United Kingdom’s Continental Shelf.",Oil & Gas,USD,XNAS,Stock,8078819169.00,8078819169.00
APD,"AIR PRODUCTS AND CHEMICALS, INC.","Air Products and Chemicals, Inc. is an industrial gases company. The Company is focused on serving energy, environmental, and emerging markets. Its base business provides essential industrial gases, related equipment and applications expertise to customers in dozens of industries, including refining, chemicals, metals, electronics, manufacturing, and food. The Company also develops, engineers, builds, owns and operates clean hydrogen projects supporting the transition to low- and zero-carbon energy in the heavy-duty transportation and industrial sectors. In addition, the Company provides turbomachinery, membrane systems and cryogenic containers globally. The Company has operations in approximately 50 countries. Its industries include aerospace, analytical labs & research/science, automotive, beverages, bioenergy, biotechnology, cement and lime, chemicals, electronics, food, glass and frit, hydrogen energy, medical, metals and materials processing, metals production, medical and others.",Chemicals,USD,XNYS,Stock,56686627456.00,56686627456.00
APH,AMPHENOL CORPORATION,"Amphenol Corporation is a designer, manufacturer, and marketer of electrical, electronic and fiber optic connectors and interconnect systems, antennas, sensors and sensor-based products and coaxial and high-speed specialty cables. The Company operates through three segments. The Harsh Environment Solutions segment designs, manufactures and markets a range of ruggedized interconnect products and other products for use in the industrial, defense, commercial aerospace, automotive, mobile networks, medical and other markets. Communications Solutions segment designs, manufactures and markets a range of connector and interconnect systems for use in the information technology and data communications, mobile devices, industrial, mobile networks, broadband communications, automotive, commercial aerospace and defense end markets. Its Interconnect and Sensor Systems segment designs, manufactures and markets a range of sensors, sensor-based systems, connectors and value-add interconnect systems.",Electronic Equipment & Parts,USD,XNYS,Stock,151931409240.00,151931409240.00
APO,"APOLLO GLOBAL MANAGEMENT, INC.","Apollo Global Management, Inc. is a global alternative asset manager and a retirement services provider. It operates through three segments: Asset Management, Retirement Services and Principal Investing. The Asset Management segment focuses on three investing strategies: yield, hybrid, and equity. These strategies reflect the range of investment capabilities across its platform based on relative risk and return. The Retirement Services business is conducted by Athene Holding Ltd (Athene), a financial services company that specializes in issuing, reinsuring, and acquiring retirement savings products designed for the increasing number of individuals and institutions seeking to fund retirement needs. Athene product lines include annuities and funding agreements. The Principal Investing segment includes realized performance fee income, realized investment income from its balance sheet investments, and certain allocable expenses related to corporate functions supporting the entire company.",Collective Investments,USD,XNYS,Stock,73746147204.00,73746147204.00
APTV,APTIV PLC,"Aptiv PLC is a global technology company that develops connected solutions enabling a more sustainable future of mobility. The Company delivers end-to-end mobility solutions enabling its customers’ transition to more electrified, software-defined vehicles. The Company’s segments include Signal and Power Solutions and Advanced Safety and User Experience. The Signal and Power Solutions segment includes complete electrical architecture and component products. The Advanced Safety and User Experience segment includes vehicle technology and services in advanced safety, user experience and smart vehicle compute and software, as well as cloud-native software platforms, autonomous driving technologies and DevOps tools. It designs and manufactures vehicle components and provides electrical, electronic and active safety technology solutions to the global automotive and commercial vehicle markets. It operates manufacturing facilities and technical centers utilizing a regional service model.",Automobiles & Auto Parts,USD,XNYS,Stock,18638061282.00,18638061282.00
